,average_rating
Film-Noir,3.9215233698788228
War,3.815811874866993
Drama,3.6873793708484772
Documentary,3.6728232189973613
Mystery,3.63813155386082
Crime,3.6322780881440098
Romance,3.621704948358255
Western,3.6132686084142396
Animation,3.5766990291262135
Sci-Fi,3.5607227022780834
Musical,3.521396851029471
Thriller,3.5090069495245064
Adventure,3.503526503308369
Action,3.480245417953027
Comedy,3.3940734781442745
Children's,3.3532442216652742
Horror,3.2903893172841827
Fantasy,3.2152366863905324
unknown,3.2
